date,1a. open (USD),1b. open (USD),2a. high (USD),2b. high (USD),3a. low (USD),3b. low (USD),4a. close (USD),4b. close (USD),5. volume,6. market cap (USD)
2022-09-21,1322.94,1322.94,1408.9,1408.9,1220.0,1220.0,1245.78,1245.78,1192266.7379,1192266.7379
2022-09-20,1375.98,1375.98,1384.78,1384.78,1312.71,1312.71,1322.93,1322.93,658027.1465,658027.1465
2022-09-19,1334.51,1334.51,1393.35,1393.35,1280.0,1280.0,1375.98,1375.98,974855.198,974855.198
2022-09-18,1468.82,1468.82,1469.63,1469.63,1325.55,1325.55,1334.51,1334.51,804113.468,804113.468
2022-09-17,1433.9,1433.9,1476.13,1476.13,1409.12,1409.12,1468.83,1468.83,421391.3743,421391.3743
2022-09-16,1472.76,1472.76,1483.35,1483.35,1405.52,1405.52,1433.9,1433.9,693597.2425,693597.2425
2022-09-15,1638.4,1638.4,1655.2,1655.2,1458.0,1458.0,1472.75,1472.75,1335499.8047,1335499.8047
2022-09-14,1574.4,1574.4,1647.01,1647.01,1552.38,1552.38,1638.39,1638.39,764562.5393,764562.5393
2022-09-13,1716.37,1716.37,1760.51,1760.51,1560.54,1560.54,1574.4,1574.4,1134549.7256,1134549.7256
2022-09-12,1766.12,1766.12,1783.0,1783.0,1693.0,1693.0,1716.37,1716.37,630774.6032,630774.6032
2022-09-11,1774.12,1774.12,1789.0,1789.0,1720.1,1720.1,1766.11,1766.11,409287.7263,409287.7263
2022-09-10,1718.24,1718.24,1789.0,1789.0,1706.03,1706.03,1774.12,1774.12,411046.2466,411046.2466
2022-09-09,1635.37,1635.37,1746.13,1746.13,1630.51,1630.51,1718.23,1718.23,837458.2126,837458.2126
2022-09-08,1630.0,1630.0,1663.56,1663.56,1595.06,1595.06,1635.37,1635.37,645124.0085,645124.0085
2022-09-07,1559.01,1559.01,1657.5,1657.5,1490.66,1490.66,1630.0,1630.0,850991.4243,850991.4243
2022-09-06,1617.8,1617.8,1687.4,1687.4,1555.0,1555.0,1559.01,1559.01,1010722.8578,1010722.8578
2022-09-05,1579.29,1579.29,1631.99,1631.99,1556.56,1556.56,1617.8,1617.8,503492.937,503492.937
2022-09-04,1557.45,1557.45,1583.66,1583.66,1540.66,1540.66,1579.28,1579.28,296591.1166,296591.1166
2022-09-03,1575.35,1575.35,1582.71,1582.71,1534.28,1534.28,1557.46,1557.46,321397.2189,321397.2189
